year,naics_name,avg_wage,avg_wage_moe
2014,Construction,75677.7,11073.9
2014,Construction,75677.7,11073.9
2014,Construction,75677.7,11073.9
2014,Management of companies & enterprises,112973,19321.8
2014,Farming,71487.9,33894.6
2014,Animal production & aquaculture,33951.2,17040.1
2014,"Fishing, hunting & trapping",8681.22,2449.06
2014,Support activities for agriculture & forestry,110903,82817.9
2014,Oil & gas extraction,104705,36515.6
2014,Support activities for mining,134934,34146.5
2014,Furniture & related product manufacturing,75196.9,15612.6
2014,Furniture & home furnishings stores,76552.4,14559.6
2014,Gasoline stations,59307,15707.2
2014,Air transportation,91040.5,18222.3
2014,Rail transportation,81628.5,13782.9
2014,Water transportation,96250.5,27842.9
2014,Truck transportation,60110.8,14092
2014,Pipeline transportation,83715.3,35077.7
2014,Scenic & sightseeing transportation,36601.4,35878.4
2014,Services incidental to transportation,68862.5,11295.2
2014,Postal Service,62735.5,9633.87
2014,Couriers & messengers,76612.7,18177.1
2014,Warehousing & storage,78792.9,28998.6
2014,Broadcasting (except internet),75105.4,12487.7
2014,Insurance carriers & related activities,89893.5,5387.04
2014,Real estate,68721.4,7787.27
2014,Waste management & remediation services,57425.1,12970.1
2014,Hospitals,85003.9,7394.96
2014,"Performing arts, spectator sports & related industries",81393.1,18542.9
2014,"Museums, art galleries, historical sites, & similar institutions",52306.6,10303.9
2014,Private households,30560.6,12966.2
2014,Administration of human resource programs,68366.1,6352.87
2014,Logging,86433.1,65159.5
2014,Coal mining,74933.7,16931.5
2014,Metal ore mining,647409,7.42E-11
2014,Nonmetallic mineral mining & quarrying,79434.8,21778.4
2014,Sugar & confectionery products,53634.7,27307.1
2014,Fruit & vegetable preserving & specialty food manufacturing,95576.9,40022.3
2014,Dairy product manufacturing,160848,44043.7
2014,Animal slaughtering & processing,81423.8,19765.3
2014,Beverage manufacturing,102009,15808.5
2014,"Fiber, yarn, & thread mills",81682.4,1.61E-11
2014,Cut & sew apparel manufacturing,62677.6,26140.1
2014,Sawmills & wood preservation,57772.4,45051.9
2014,"Pulp, paper, & paperboard mills ",81922.3,12813.5
2014,Printing & related support activities,84128.1,15063.5
2014,"Resin, synthetic rubber, & fibers & filaments manufacturing   ",17143.2,0
2014,Agricultural chemical manufacturing,93709.2,17483.6
2014,Pharmaceutical & medicine manufacturing,99804.5,14302.5
2014,"Paint, coating, & adhesive manufacturing ",84347.8,8696.84
2014,"Soap, cleaning compound, & cosmetics manufacturing ",61294.3,22794.6
2014,Plastics product manufacturing,76317.7,18010.3
2014,Glass & glass product manufacturing,83683.2,55985.2
2014,Miscellaneous nonmetallic mineral product manufacturing,36102.4,37467
2014,Aluminum production & processing,168092,88469.6
2014,Nonferrous metal (except aluminum) production & processing,107015,111674
2014,Foundries,149254,106964
2014,Metal forgings & stampings,27569.9,2492.86
2014,Cutlery & hand tool manufacturing,43890.5,20199.7
2014,"Machine shops; turned product; screw, nut & bolt manufacturing  ",60069,9282.1
2014,"Coating, engraving, heat treating & allied activities ",82979,32276.4
2014,Commercial & service industry machinery manufacturing,74276.2,10801.9
2014,Metalworking machinery manufacturing,71449.8,34300.3
2014,"Engine, turbine, & power transmission equipment manufacturing ",81581,11996.4
2014,Computer & peripheral equipment manufacturing,131773,11733
2014,"Navigational, measuring, electromedical, & control instruments manufacturing",100038,5980.37
2014,Household appliance manufacturing,89247.3,9445.09
2014,Ship & boat building,84444.7,16849.3
2014,Other transportation equipment manufacturing,80799.6,39206.6
2014,Medical equipment & supplies manufacturing,109545,19613.2
2014,Motor vehicle & motor vehicle parts & supplies merchant wholesalers,75529.5,42930.6
2014,Furniture & home furnishing merchant wholesalers,78283.3,42994.1
2014,Lumber & other construction materials merchant wholesalers,46623.7,10228.7
2014,Professional & commercial equipment & supplies merchant wholesalers,107468,12856.6
2014,Metals & minerals (except petroleum) merchant wholesalers,110287,49742
2014,Household appliances & electrical & electronic goods merchant wholesalers,88882.5,17869.4
2014,"Hardware, & plumbing & heating equipment, & supplies merchant wholesalers",90177.6,47939.8
2014,"Machinery, equipment, & supplies merchant wholesalers     ",88916.7,19673.3
2014,Paper & paper products merchant wholesalers,94243,22391.2
2014,"Apparel, piece goods, & notions merchant wholesalers",132008,53365.5
2014,Grocery & related product merchant wholesalers,54771.7,15246.7
2014,Farm product raw material merchant wholesalers,29491,27553.5
2014,Petroleum & petroleum products merchant wholesalers,107569,20580.9
2014,Alcoholic beverages merchant wholesalers,65709,17443.5
2014,Wholesale electronic markets & agents & brokers,52099.9,14139.8
2014,Car Dealers,78549,17924.3
2014,Other motor vehicle dealers,45633.1,6660.4
2014,"Automotive parts, accessories, & tire stores  ",33151.4,7631.66
2014,Lawn & garden equipment & supplies stores,111571,83862.4
2014,Grocery Stores,49130.3,10939.3
2014,Specialty food stores,42920.8,27527
2014,"Beer, wine, & liquor stores ",38058.3,13171.6
2014,Clothing stores,61294.3,13429.1
2014,"Jewelry, luggage, & leather goods stores ",78761.5,25732.7
2014,Miscellaneous general merchandise stores,65201.6,38779
2014,Retail florists,12995.2,11077.3
2014,Used merchandise stores,66307.6,36576.8
2014,Miscellaneous retail stores,54337.2,18880.6
2014,Vending machine operators,77285,36730.5
2014,Taxi & limousine service,26640.8,27272.5
2014,Software publishing,122691,8572.07
2014,Motion pictures & video industries,71516.1,14385
2014,Sound recording industries,95195.3,21157.7
2014,Wired telecommunications carriers,90991.9,6250.56
2014,"Data processing, hosting & related services",91900.8,8689.8
2014,Automotive equipment rental & leasing,41444.5,11063.6
2014,Legal services,106418,19050.7
2014,"Accounting, tax preparation, bookkeeping & payroll services",95476.1,16016.6
2014,"Architectural, engineering & related services",93755.6,6156.81
2014,Specialized design services,67534.1,11858.2
2014,Computer Systems Design,97921.7,2221.69
2014,"Management, scientific & technical consulting services",104285,6995.69
2014,Scientific research & development services,102050,13648.2
2014,"Advertising, public relations & related services",90397.4,9909.85
2014,Employment services,68719.2,9881.94
2014,Business support services,71308.2,12808.3
2014,Travel arrangements & reservation services,86934,17421.3
2014,Investigation & security services,59447,13680.5
2014,Elementary & secondary schools,52010.4,3836.22
2014,Offices of physicians,122059,27190.6
2014,Offices of dentists,144525,48393.2
2014,Outpatient care centers,68202.1,9939.98
2014,Home health care services,51288.4,14229.4
2014,Nursing Care Facilities,47619.8,8542.67
2014,Individual & family services,38429.7,6032.07
2014,"Community food & housing, & emergency services ",34904.1,15474.4
2014,Vocational rehabilitation services,32024.9,23499.3
2014,Child day care services,33906.4,6322.62
2014,Traveler accommodation,47049,11094.5
2014,"Drinking places, alcoholic beverages ",34986.6,16400.8
2014,Electronic & precision equipment repair and maintenance,43841.5,11194.5
2014,Commercial & industrial machinery & equipment repair & maintenance,69546.8,25755.9
2014,Personal & household goods repair & maintenance,27949.7,13336.4
2014,"Funeral homes, & cemeteries & crematories ",34543.1,17275
2014,Drycleaning & laundry services,34603.5,20030.1
2014,Other personal services,63472,20254.2
2014,Religious organizations,44502.6,8617.04
2014,Sewage treatment facilities,87764.6,10376.6
2014,Carpet & rug mills,45828.4,6503.42
2014,Paperboard container manufacturing,74426.5,15413.1
2014,Petroleum refining,108992,23480.9
2014,Tire manufacturing,72288.8,16408.6
2014,Agricultural implement manufacturing,85347.8,32407.2
2014,Recyclable material merchant wholesalers,75295.7,19810
2014,Hardware stores,42100.3,21031.7
2014,Pharmacies & drug stores,70976.1,27830.5
2014,Shoe stores,113099,52261.8
2014,"Sewing, needlework, & piece goods stores ",17637.2,9673.73
2014,Musical instrument & supplies stores,74623.5,0
2014,Book stores & news dealers,216675,139255
2014,Department stores & discount stores,47245,7958.77
2014,Office supplies & stationery stores,56776,33742.9
2014,"Gift, novelty, & souvenir shops",36435.4,16823
2014,Other direct selling establishments,50351.2,18851.9
