year,soc_name,avg_wage,avg_wage_error
2014,General & operations managers,117232,22547.8
2014,Compensation & benefits managers,32269.6,6.56E-12
2014,Human resources managers,117719,19578.2
2014,Training & development managers,116627,16998.7
2014,Emergency management directors,37311.7,0
2014,"Agents & business managers of artists, performers, & athletes",53299.3,45940.5
2014,"Wholesale & retail buyers, except farm products",50229.4,15015.6
2014,"Purchasing agents, except wholesale, retail, & farm products",75646.1,18349.5
2014,"Claims adjusters, appraisers, examiners, & investigators",59778.7,6433.29
2014,Compliance officers,88299.4,14758
2014,Cost estimators,88464.1,16336.2
2014,Human resources workers,72317.3,13565.8
2014,Logisticians,70118.6,14370.2
2014,Management analysts,97993.7,5602.93
2014,"Meeting, convention, & event planners",78239.7,23285.3
2014,Fundraisers,91586.6,42285.2
2014,"Compensation, benefits, & job analysis specialists",45918.6,5516.95
2014,Training & development specialists,84152.9,22051.5
2014,Market research analysts & marketing specialists,105569,15931.8
2014,"Business operations specialists, all other",86142,13857.2
2014,Accountants & auditors,81333.4,10457.6
2014,Appraisers & assessors of real estate,42450.1,30198.8
2014,Budget analysts,107455,29043.5
2014,Credit analysts,55924,19424.1
2014,Financial analysts,91259.8,18665.3
2014,Personal financial advisors,86674.1,24087.6
2014,Insurance underwriters,82551.5,42000.5
2014,Financial examiners,50421.2,3.78E-12
2014,Credit counselors & loan officers,88922.9,13930.7
2014,"Tax examiners & collectors, & revenue agents",84314.7,21709.1
2014,Tax preparers,47244.6,26402.2
2014,Other financial specialists,80083.7,20346.3
2014,Computer & information research scientists,111887,12699.7
2014,Computer systems analysts,84893,4489.24
2014,Information security analysts,92122.6,8070.06
2014,Computer programmers,84442.7,2384.13
2014,Web developers,67298.8,6429.69
2014,Database administrators,89814.2,4908.91
2014,Network & computer systems administrators,72467,3686.51
2014,Computer network architects,98266.9,6418.96
2014,Computer support specialists,64007.1,3332.95
2014,Other Computer Occupations,82832.4,3617.75
2014,Actuaries,87534.6,64964.9
2014,Operations research analysts,86444.1,8014.71
2014,"Architects, except naval",114957,25171.3
2014,"Surveyors, cartographers, & photogrammetrists",63873,10317.1
2014,Aerospace engineers,95845.1,15001.5
2014,Chemical engineers,86100.7,15769.7
2014,Civil engineers,95357.8,13848.1
2014,Computer hardware engineers,117171,18879.4
2014,Electrical & electronics engineers,88442,9161.55
2014,Environmental engineers,109355,5929.76
2014,"Industrial engineers, including health & safety",94686.3,15965.4
2014,Materials engineers,79113.7,9930.92
2014,Mechanical engineers,80727.6,12529.9
2014,Drafters,51159,17672.4
2014,"Engineering technicians, except drafters",63742.3,14442.9
2014,Surveying & mapping technicians,70529.5,28223.9
2014,Biological scientists,88633.9,24747.4
2014,Atmospheric & space scientists,11261.4,1598.62
2014,Chemists & materials scientists,79498.9,28822.7
2014,Environmental scientists & geoscientists,102827,38204.8
2014,Other Physical Scientists,92555.4,17845.1
2014,Economists,171432,0
2014,Psychologists,59637.9,30469.2
2014,Urban & regional planners,50421.2,2.68E-12
2014,Agricultural & food science technicians,36303.3,0
2014,Biological technicians,40337,0
2014,Counselors,55012.8,13303.7
2014,Social workers,44941.6,7697.65
2014,Probation officers & correctional treatment specialists,35606.5,10174.5
2014,Social & human service assistants,56303.2,24229
2014,Clergy,41372,9722.66
2014,"Directors, religious activities & education",45949.5,25269.3
2014,"Religious workers, all other",31669.4,16759.2
2014,Judicial law clerks,127062,5.24E-11
2014,Paralegals & legal assistants,50404.7,20882.2
2014,Miscellaneous legal support workers,70579.4,22341.9
2014,Postsecondary teachers,50292.9,5108.52
2014,Preschool & kindergarten teachers,30354.6,12710.7
2014,Elementary & middle school teachers,48602,5763.95
2014,Secondary school teachers,47497.8,5851.84
2014,Special education teachers,70591.8,38647.5
2014,Other teachers & instructors,50392.7,13672.1
2014,"Archivists, curators, & museum technicians",43811.3,11453.6
2014,Librarians,46701.8,8737.73
2014,Library technicians,23840.5,40139.5
2014,Teacher assistants,24713.5,6002.79
2014,Artists & related workers,81925.5,20630.3
2014,Designers,61790.6,7102.77
2014,Actors,458833,9.81E-11
2014,Producers & directors,71631.6,30282.2
2014,"Athletes, coaches, umpires, & related workers",37128.6,16722.9
2014,"Musicians, singers, & related workers",38219.8,22301.4
2014,Announcers,7733.65,4391.53
2014,"News analysts, reporters & correspondents",41569.6,25147.1
2014,Public relations specialists,47868.8,38929
2014,Editors,25337.4,8163.7
2014,Technical writers,65434.8,11298.1
2014,Writers & authors,51750.4,15376.2
2014,Miscellaneous media & communication workers,23217.9,9983.87
2014,Photographers,93835.3,132587
2014,"Television, video, & motion picture camera operators & editors",64025.2,35160.3
2014,Chiropractors,53672.1,12721.7
2014,Dentists,167507,89167.6
2014,Dietitians & nutritionists,70589.8,0
2014,Optometrists,89749.8,7.57E-12
2014,Pharmacists,88102.6,50469.4
2014,Physicians & surgeons,193951,42861.5
2014,Physician assistants,88299.3,9840.67
2014,Podiatrists,64539.2,2.66E-11
2014,Occupational therapists,68828.5,38170.9
2014,Physical therapists,72917.7,30195.7
2014,Respiratory therapists,68772.7,8293.18
2014,Speechlanguage pathologists,104610,62252.5
2014,Registered nurses,66664.9,7540.04
2014,Nurse anesthetists,61513.9,1.39E-11
2014,"Health diagnosing & treating practitioners, all other",65547.6,0
2014,Clinical laboratory technologists & technicians,36583.2,12068.5
2014,Dental hygienists,102783,13594
2014,Diagnostic related technologists & technicians,55552.9,25172.2
2014,Emergency medical technicians & paramedics,78581.5,47785.7
2014,Health practitioner support technologists & technicians,141632,56282.3
2014,Licensed practical & licensed vocational nurses,29281.4,9677.52
2014,Medical records & health information technicians,42396.4,2124.02
2014,"Opticians, dispensing",82517.9,49396.9
2014,Miscellaneous health technologists & technicians,49907.8,21544.3
2014,Other healthcare practitioners & technical Occupations,28334.7,16504.1
2014,"Nursing, psychiatric, & home health aides",33306.2,14124.8
2014,Occupational therapy assistants & aides,10084.2,0
2014,Physical therapist assistants & aides,64051,25724.7
2014,Massage therapists,50614.5,38644.7
2014,Dental assistants,282944,209388
2014,Medical assistants,106984,83113
2014,Pharmacy aides,35294.9,0
2014,Veterinary assistants & laboratory animal caretakers,104876,2.07E-11
2014,Phlebotomists,12911.3,5050.69
2014,Firstline supervisors of correctional officers,110927,2.00E-11
2014,Firstline supervisors of police & detectives,79479.7,26829.7
2014,Firstline supervisors of fire fighting & prevention workers,145005,11893.5
2014,"Firstline supervisors of protective service workers, all other",111859,31986.1
2014,Firefighters,67254.8,16824.9
2014,Fire inspectors,36303.3,0
2014,"Bailiffs, correctional officers, & jailers",52015.2,8874.93
2014,Detectives & criminal investigators,105816,21810.1
2014,Police officers,80379.6,13095.1
2014,Private detectives & investigators,94212,17897.2
2014,Security guards & gaming surveillance officers,62708.4,16451.3
2014,Transportation security screeners,42353.9,7.57E-12
2014,Chefs & head cooks,35744.7,10053.2
2014,Firstline supervisors of food preparation & serving workers,30793.7,7100.7
2014,Cooks,23145.2,4455.95
2014,Food preparation workers,11706.8,4130.57
2014,Bartenders,26849.5,8673.22
2014,"Counter attendants, cafeteria, food concession, & coffee shop",14118,1.89E-12
2014,Waiters & waitresses,26710.9,7249.75
2014,"Food servers, nonrestaurant",29799,14526.8
2014,Dishwashers,7130.67,5146.03
2014,"Hosts & hostesses, restaurant, lounge, & coffee shop",3529.49,1.51E-12
2014,Firstline supervisors of housekeeping & janitorial workers,28262.9,9547.73
2014,"Firstline supervisors of landscaping, lawn service, & groundskeeping workers",60505.5,1.28E-11
2014,Maids & housekeeping cleaners,17408.3,5584.93
2014,Pest control workers,38076.6,32398.6
2014,Grounds maintenance workers,38271.5,10702.6
2014,Firstline supervisors of personal service workers,49221.3,31382.5
2014,Animal trainers,11395.2,2.59E-12
2014,Nonfarm animal caretakers,31682.3,21804.6
2014,Gaming services workers,37636.6,8215.33
2014,Miscellaneous entertainment attendants & related workers,5918.93,8347.27
2014,"Morticians, undertakers, & funeral directors",15126.4,3.48E-12
2014,Barbers,35294.9,0
2014,"Hairdressers, hairstylists, & cosmetologists",28814.5,22852.4
2014,Miscellaneous personal appearance workers,21624.9,11352.6
2014,"Baggage porters, bellhops, & concierges",35407.6,31045.6
2014,Tour & travel guides,40444.4,3064.76
2014,Childcare workers,10639.2,3986.25
2014,Personal care aides,16680.3,2409.47
2014,Recreation & fitness workers,39478.4,9042.97
2014,Residential advisors,33278,0
2014,Firstline supervisors of retail sales workers,63407.3,9065.96
2014,Firstline supervisors of nonretail sales workers,122721,18148.7
2014,Cashiers,21112.9,7356.33
2014,Counter & rental clerks,5445.5,7.48E-13
2014,Parts salespersons,8067.4,1.57E-12
2014,Retail salespersons,51666.2,8478.79
2014,Advertising sales agents,94081.9,23662.4
2014,Insurance sales agents,63936.6,18922.9
2014,"Securities, commodities, & financial services sales agents",143246,43113.6
2014,Travel agents,41834.9,7375.55
2014,"Sales representatives, services, all other",132208,21613.1
2014,"Sales representatives, wholesale & manufacturing",119506,18084.1
2014,"Models, demonstrators, & product promoters",65651.8,45536.5
2014,Real estate brokers & sales agents,57608.1,12646.7
2014,Sales engineers,162356,57725.3
2014,Telemarketers,13868.4,730.993
2014,"Doortodoor sales workers, news & street vendors, & related workers",19879.8,16539
2014,Other Sales Workers,104203,26774.8
2014,Firstline supervisors of office & administrative support workers,85531,10897
2014,"Switchboard operators, including answering service",71279.7,30119
2014,Telephone operators,12250.1,20259.9
2014,"Communications equipment operators, all other",55499.4,23163.9
2014,Bill & account collectors,46213.4,8758.31
2014,Billing & posting clerks,45274.1,7877.32
